codigo;descricao
2.01.01.43-0;Acompanhamento clínico ambulatorial do pós-operatório de cirurgia de catarata congênita ou glaucoma congênito, por avaliação do 11º ao 30º dia, até 3 avaliações, em consultório
2.01.01.21-0;Acompanhamento clínico ambulatorial pós-transplante de córnea – por avaliação do 11º ao 30º dia até 3 avaliações
2.01.01.22-8;Acompanhamento clínico ambulatorial pós-transplante de medula óssea
2.01.01.01-5;Acompanhamento clínico ambulatorial pós-transplante renal – por avaliação
2.01.01.02-3;Análise da proporcionalidade cineantropométrica
2.01.01.25-2;Ativação do implante coclear unilateral
2.01.01.20-1;Avaliação clínica e eletrônica de paciente portador de dispositivo cardíaco eletrônico implantável (marca-passo, estimulador cardíaco multissítio/ressincronizador, desfibrilador ou monitor de eventos)
2.01.01.31-7;Avaliação clínica pós-coleta de liquor no teste de punção lombar única ou repetida – TAP test
2.01.01.30-9;Avaliação clínica pré-coleta de liquor no teste de punção lombar única ou repetida – TAP test
2.01.01.09-0;Avaliação da composição corporal por antropometria (inclui consulta)
2.01.01.10-4;Avaliação da composição corporal por bioimpedanciometria
2.01.01.11-2;Avaliação da composição corporal por pesagem hidrostática
2.01.01.32-5;Avaliação e diagnóstico de morte encefálica – exame clínico que confirme coma não perceptivo e ausência de função do tronco encefálico
2.01.01.33-3;Avaliação e diagnóstico de morte encefálica – teste de apneia que confirme ausência de movimentos respiratórios após estimulação máxima dos centros respiratórios
2.01.01.24-4;Avaliação e seleção para implante coclear unilateral
2.01.01.34-1;Avaliação neurológica ampla – ANA
2.01.01.07-4;Avaliação nutrológica (inclui consulta)
2.01.01.08-2;Avaliação nutrológica pré e pós-cirurgia bariátrica (inclui consulta)
2.01.01.12-0;Controle anti-doping (por período de 2 horas) – durante competições
2.01.01.13-9;Controle anti-doping (por período de 2 horas) – fora de competições
2.01.01.26-0;Mapeamento e balanceamento dos eletrodos do implante coclear unilateral
2.01.01.42-2;Monoximetria não invasiva (COex)
2.01.01.27-9;Potencial evocado eletricamente no sistema auditivo central
2.01.01.15-5;Prestação de serviços em delegações ou competições esportivas
2.01.01.35-0;Programação de dispositivos neurofuncionais
2.01.01.23-6;Teste de avaliação geriátrica ampla – AGA
2.01.01.37-6;Teste cutâneo de puntura ou intradérmico com medicamentos (até 3 drogas)
2.01.01.39-2;Teste de provocação com medicamentos via injetável
2.01.01.38-4;Teste de provocação com medicamentos via oral
2.01.01.36-8;Teste de provocação oral (TPO) com alimentos
2.01.01.29-5;Troca do processador de áudio do implante coclear unilateral
2.01.01.28-7;Reflexo estapediano eliciado eletricamente unilateral
2.01.01.17-1;Rejeição de enxerto renal – tratamento ambulatorial – avaliação clínica diária
2.01.02.15-1;Gestão de pacientes com apneia obstrutiva do sono elegíveis para tratamento com pressão positiva contínua em via aérea
2.01.02.01-1;Holter de 24 horas – 2 ou mais canais – analógico
2.01.02.02-0;Holter de 24 horas – 3 canais – digital
2.01.02.06-2;Monitor de eventos sintomáticos por 15 a 30 dias (LOOPER)
2.01.02.03-8;Monitorização ambulatorial da pressão arterial – MAPA (24 horas)
2.01.02.16-0;Monitorização ambulatorial da pressão arterial de 5 dias – MAPA 5d
2.01.02.17-8;Monitorização contínua da insuficiência respiratória em pacientes com esclerose lateral amiotrófica (ELA) que necessitam de assistência ventilatória não invasiva
2.01.02.07-0;Tilt teste
2.01.03.01-8;Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) – binocular
2.01.03.02-6;Amputação bilateral (preparação do coto)
2.01.03.03-4;Amputação bilateral (treinamento protético)
2.01.03.04-2;Amputação unilateral (preparação do coto)
2.01.03.05-0;Amputação unilateral (treinamento protético)
2.01.03.06-9;Assistência fisiátrica respiratória em pré e pós-operatório de condições cirúrgicas
2.01.03.07-7;Ataxias
2.01.03.09-3;Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de sequelas
2.01.03.10-7;Atendimento fisiátrico no pré e pós-parto
2.01.03.11-5;Atividade reflexa ou aplicação de técnica cinesioterápica específica
2.01.03.12-3;Atividades em escola de postura (máximo de 10 pessoas) – por sessão
2.01.03.13-1;Biofeedback com EMG
2.01.03.14-0;Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal
2.01.03.15-8;Confecção de órteses em material termossensível (por unidade)
2.01.03.16-6;Confecção de prótese imediata
2.01.03.17-4;Confecção de prótese provisória
2.01.03.18-2;Desvios posturais da coluna vertebral
2.01.03.19-0;Disfunção vesicouretral
2.01.03.20-4;Distrofia simpático-reflexa
2.01.03.21-2;Distúrbios circulatórios arteriovenosos e linfáticos
2.01.03.22-0;Doenças pulmonares atendidas em ambulatório
2.01.03.23-9;Exercícios de ortóptica (por sessão)
2.01.03.24-7;Exercícios para reabilitação do asmático (ERAC) – por sessão coletiva
2.01.03.25-5;Exercícios para reabilitação do asmático (ERAI) – por sessão individual
2.01.03.26-3;Hemiparesia
2.01.03.27-1;Hemiplegia
2.01.03.28-0;Hemiplegia e hemiparesia com afasia
2.01.03.29-8;Hipo ou agenesia de membros
2.01.03.30-1;Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo)
2.01.03.31-0;Lesão nervosa periférica afetando mais de um nervo com alterações sensitivas e/ ou motoras
2.01.03.32-8;Lesão nervosa periférica afetando um nervo com alterações sensitivas e/ou motoras
2.01.03.33-6;Manipulação vertebral
2.01.03.34-4;Miopatias
2.01.03.36-0;Paciente com D.P.O.C. em atendimento ambulatorial necessitando reeducação e reabilitação respiratória
2.01.03.37-9;Paciente em pós-operatório de cirurgia cardíaca, atendido em ambulatório, duas a três vezes por semana
2.01.03.38-7;Pacientes com doença isquêmica do coração, atendido em ambulatório de 8 a 24 semanas
2.01.03.39-5;Pacientes com doença isquêmica do coração, atendido em ambulatório, até 8 semanas de programa
2.01.03.40-9;Pacientes com doenças neuro-músculo-esqueléticas com envolvimento tegumentar
2.01.03.41-7;Pacientes sem doença coronariana clinicamente manifesta, mas considerada de alto risco, atendido em ambulatório, duas a três vezes por semana
2.01.03.42-5;Paralisia cerebral
2.01.03.43-3;Paralisia cerebral com distúrbio de comunicação
2.01.03.44-1;Paraparesia/tetraparesia
2.01.03.45-0;Paraplegia e tetraplegia
2.01.03.46-8;Parkinson
2.01.03.47-6;Patologia neurológica com dependência de atividades da vida diária
2.01.03.51-4;Patologia osteomioarticular em diferentes segmentos da coluna
2.01.03.49-2;Patologia osteomioarticular em dois ou mais membros
2.01.03.48-4;Patologia osteomioarticular em um membro
2.01.03.50-6;Patologia osteomioarticular em um segmento da coluna
2.01.03.52-2;Patologias osteomioarticulares com dependência de atividades da vida diária
2.01.03.54-9;Procedimentos mesoterápicos (por região anatômica)
2.01.03.55-7;Procedimentos mesoterápicos com calcitonina (qualquer segmento)
2.01.03.56-5;Processos inflamatórios pélvicos
2.01.03.58-1;Programa de exercício supervisionado com obtenção de eletrocardiograma e/ou saturação de O2 – sessão coletiva
2.01.03.57-3;Programa de exercício supervisionado com obtenção de eletrocardiograma e/ou saturação de O2 – sessão individual
2.01.03.60-3;Programa de exercício supervisionado sem obtenção de eletrocardiograma e/ou saturação de O2 – sessão coletiva
2.01.03.59-0;Programa de exercício supervisionado sem obtenção de eletrocardiograma e/ou saturação de O2 – sessão individual
2.01.03.61-1;Queimados – seguimento ambulatorial para prevenção de sequelas (por segmento)
2.01.03.72-7;Reabilitação cardiovascular supervisionada. Programa de 12 semanas. Duas a três sessões por semana (por sessão)
2.01.03.62-0;Reabilitação de paciente com endoprótese
2.01.03.63-8;Reabilitação labiríntica (por sessão)
2.01.03.64-6;Reabilitação perineal com biofeedback
2.01.03.65-4;Recuperação funcional de distúrbios craniofaciais
2.01.03.53-0;Recuperação funcional pós-operatória ou por imobilização da patologia vertebral
2.01.03.67-0;Recuperação funcional pós-operatória ou pós-imobilização gessada de patologia osteomioarticular com complicações neurovasculares afetando mais de um membro
2.01.03.66-2;Recuperação funcional pós-operatória ou pós-imobilização gessada de patologia osteomioarticular com complicações neurovasculares afetando um membro
2.01.03.68-9;Retardo do desenvolvimento psicomotor
2.01.03.69-7;Sequelas de traumatismos torácicos e abdominais
2.01.03.70-0;Sequelas em politraumatizados (em diferentes segmentos)
2.01.03.71-9;Sinusites
2.01.04.01-4;Actinoterapia (por sessão)
2.01.04.02-2;Aplicação de hipossensibilizante – em consultório (AHC), exclusive o alérgeno – planejamento técnico
2.01.04.04-9;Cateterismo vesical em retenção urinária
2.01.04.06-5;Cerúmen – remoção – unilateral
2.01.04.07-3;Crioterapia (grupo de até 5 lesões)
2.01.04.09-0;Curativo de extremidades de origem vascular
2.01.04.31-6;Curativo de ouvido (cada)
2.01.04.32-4;Curativo oftalmológico
2.01.04.08-1;Curativos em geral com anestesia, exceto queimados
2.01.04.10-3;Curativos em geral sem anestesia, exceto queimados
2.01.04.11-1;Dilatação uretral (sessão)
2.01.04.41-3;Estimulação magnética transcraniana superficial (EMT)
2.01.04.12-0;Fototerapia com UVA (PUVA) (por sessão)
2.01.04.13-8;Imunoterapia específica – 30 dias – planejamento técnico
2.01.04.14-6;Imunoterapia inespecífica – 30 dias – planejamento técnico
2.01.04.15-4;Instilação vesical ou uretral
2.01.04.38-3;Pulsoterapia intravenosa (por sessão)
2.01.04.17-0;Sessão de eletroconvulsoterapia (em sala com oxímetro de pulso, monitor de ECG, EEG), sob anestesia
2.01.04.18-9;Sessão de oxigenoterapia hiperbárica (por sessão de 2 horas)
2.01.04.19-7;Sessão de psicoterapia de casal
2.01.04.20-0;Sessão de psicoterapia de grupo (por paciente)
2.01.04.21-9;Sessão de psicoterapia individual
2.01.04.22-7;Sessão de psicoterapia infantil
2.01.04.50-2;Terapia anabólica óssea subcutânea – ambulatorial
2.01.04.48-0;Terapia antirreabsortiva óssea intravenosa – ambulatorial
2.01.04.49-9;Terapia biológica antirreabsortiva óssea subcutânea – ambulatorial
2.01.04.44-8;Terapia de pressão negativa – ambulatorial
2.01.04.51-0;Terapia imunobiológica intramuscular (por sessão) – ambulatorial
2.01.04.39-1;Terapia imunobiológica intravenosa (por sessão)
2.01.04.42-1;Terapia imunobiológica subcutânea (por sessão) – ambulatorial
2.01.04.46-4;Terapia imunoprofilática com palivizumabe para o vírus sincicial respiratório (por sessão) – ambulatorial
2.01.04.23-5;Terapia inalatória – por nebulização
2.01.04.29-4;Terapia oncológica – planejamento e 1º dia de tratamento
2.01.04.30-8;Terapia oncológica – por dia subsequente de tratamento (até o início do próximo ciclo)
2.01.04.24-3;Terapia oncológica com altas doses – planejamento e 1º dia de tratamento
2.01.04.25-1;Terapia oncológica com altas doses – por dia subsequente de tratamento (até o início do próximo ciclo)
2.01.04.26-0;Terapia oncológica com aplicação de medicamentos por via intracavitária ou intratecal – por procedimento
2.01.04.27-8;Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas – planejamento e 1º dia de tratamento
2.01.04.28-6;Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos, com infusão mínima de 6 horas – por dia subsequente de tratamento (até o início do próximo ciclo)
2.01.04.53-7;Terapia oral imunossupressora alvo específica
2.01.04.47-2;Terapia subcutânea com imunoglobulina humana policlonal
2.01.04.45-6;Tratamento preventivo da migrânea crônica
2.01.05.01-0;Perícia forense, por médico forense
2.01.05.02-9;Perícia médica administrativa
2.02.00.00-5;Código Procedimento Porte Custo Oper. AVALIAÇÕES/ACOMPANHAMENTOS
2.02.01.01-0;Acompanhamento clínico de transplante renal no período de internação do receptor e do doador (pós-operatório até 15 dias)
2.02.01.15-0;Acompanhamento clínico hospitalar do tabagista em síndrome de abstinência, por avaliação, com visitas pós-internação e pré-alta, limitada a 2
2.02.01.02-8;Acompanhamento peroperatório
2.02.01.09-5;Assistência cardiológica no pós-operatório de cirurgia cardíaca (após a alta da UTI)
2.02.01.04-4;Assistência cardiológica peroperatória em cirurgia geral e em parto (horas suplementares) – máximo de 4 horas
2.02.01.03-6;Assistência cardiológica peroperatória em cirurgia geral e em parto (primeira hora)
2.02.01.10-9;Avaliação clínica nutrológica diária enteral
2.02.01.11-7;Avaliação clínica nutrológica diária parenteral
2.02.01.12-5;Avaliação clínica nutrológica diária parenteral e enteral
2.02.01.05-2;Cardioversão elétrica eletiva (avaliação clínica, eletrocardiográfica, indispensável à desfibrilação)
2.02.01.06-0;Rejeição de enxerto renal – tratamento internado – avaliação clínica diária – por visita
2.02.01.07-9;Transplante duplo rim-pâncreas – acompanhamento clínico (pós-operatório até 15 dias)
2.02.01.08-7;Tratamento conservador de traumatismo cranioencefálico, hipertensão intracraniana e hemorragia (por dia)
2.02.02.01-6;Cardiotocografia anteparto
2.02.02.02-4;Cardiotocografia intraparto (por hora) até 6 horas externa
2.02.02.06-7;Monitorização da pressão intracraniana (por dia)
2.02.02.03-2;Monitorização hemodinâmica invasiva (por 12 horas)
2.02.02.08-3;Monitorização neurofisiológica intraoperatória em cirurgia de nervos periféricos
2.02.02.09-1;Monitorização neurofisiológica intraoperatória em cirurgias espinhais e ortopedia 11B 187,927
2.02.02.04-0;Monitorização neurofisiológica intraoperatória em Neurocirurgia 12A 227,661
2.02.02.07-5;Monitorização neurofisiológica intraoperatória em Otorrinolaringologia e Cirurgia de Cabeça e Pescoço
2.02.02.05-9;Potencial evocado intraoperatório – monitorização cirúrgica (PE/IO)
2.02.03.04-7;Assistência fisiátrica respiratória em doente clínico internado
2.02.03.01-2;Assistência fisiátrica respiratória em paciente internado com ventilação mecânica
2.02.03.02-0;Eletroestimulação do assoalho pélvico e/ou outra técnica de exercícios perineais – por sessão
2.02.03.06-3;Pacientes com doença isquêmica do coração, hospitalizado, até 8 semanas de programa
2.02.03.07-1;Pacientes em pós-operatório de cirurgia cardíaca, hospitalizado, até 8 semanas de programa
2.02.04.02-7;Cardioversão elétrica de emergência
2.02.04.03-5;Cardioversão química de arritmia paroxística em emergência
2.02.04.04-3;Priapismo – tratamento não cirúrgico
2.02.04.15-9;Pulsoterapia intravenosa (por sessão)
2.02.04.22-1;Terapia anabólica óssea subcutânea – hospitalar
2.02.04.20-5;Terapia antirreabsortiva óssea intravenosa – hospitalar
2.02.04.21-3;Terapia biológica antirreabsortiva óssea subcutânea – hospitalar
2.02.04.23-0;Terapia imunobiológica intramuscular (por sessão) – hospitalar
2.02.04.16-7;Terapia imunobiológica intravenosa (por sessão)
2.02.04.17-5;Terapia imunobiológica subcutânea (por sessão) – hospitalar
2.02.04.18-3;Terapia imunoprofilática com palivizumabe para o vírus sincicial respiratório (por sessão) – hospitalar
2.02.04.08-6;Terapia oncológica com aplicação intra-arterial de medicamentos, em regime de aplicação peroperatória, por meio de cronoinfusor ou perfusor extracorpórea
2.02.04.19-1;Trombólise endovenosa no acidente cerebral AVC isquêmico agudo
3.01.00.00-3;Código Procedimento Porte Custo Oper. N° de Aux. Porte Anest. PROCEDIMENTOS
3.01.01.97-2;Abdominoplastia pós-bariátrica
3.01.01.01-8;Abrasão cirúrgica (por sessão)
3.01.01.93-0;Abscesso de unha (drenagem) – tratamento cirúrgico
3.01.01.02-6;Alopecia parcial – exérese e sutura
3.01.01.03-4;Alopecia parcial – rotação de retalho
3.01.01.04-2;Alopecia parcial – rotação múltipla de retalhos
3.01.01.05-0;Apêndice pré-auricular – ressecção
3.01.01.06-9;Autonomização de retalho – por estágio
3.01.01.07-7;Biópsia de pele, tumores superficiais, tecido celular subcutâneo, linfonodo superficial, etc.
3.01.01.08-5;Biópsia de unha
3.01.01.09-3;Calosidade e/ou mal perfurante – desbastamento (por lesão)
3.01.01.94-8;Cantoplastia ungueal
3.01.01.10-7;Cauterização química (por grupo de até 5 lesões)
3.01.01.11-5;Cirurgia da hidrosadenite (por região)
3.01.01.14-0;Correção cirúrgica de linfedema (por estágio)
3.01.01.15-8;Correção cirúrgica de sequelas de alopecia traumática com microenxertos pilosos (por região)
3.01.01.16-6;Correção de deformidades nos membros com utilização de implantes
3.01.01.17-4;Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos com o emprego de expansores em retalhos musculares ou miocutâneos (por estágio)
3.01.01.18-2;Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos, com o emprego de expansores de tecido, em retalhos cutâneos (por estágio)
3.01.01.19-0;Correção de lipodistrofia braquial, crural ou trocantérica de membros superiores e inferiores
3.01.01.20-4;Criocirurgia (nitrogênio líquido) de neoplasias cutâneas
3.01.01.21-2;Curativo de queimaduras – por unidade topográfica (UT) ambulatorial
3.01.01.22-0;Curativo de queimaduras – por unidade topográfica (UT) hospitalar
3.01.01.23-9;Curativo especial sob anestesia – por unidade topográfica (UT)
3.01.01.24-7;Curetagem e eletrocoagulação de CA de pele (por lesão)
3.01.01.25-5;Curetagem simples de lesões de pele (por grupo de até 5 lesões)
3.01.01.26-3;Dermoabrasão de lesões cutâneas
3.01.01.99-9;Dermolipectomia dos membros inferiores – coxoplastia pós‑bariátrica
3.01.01.98-0;Dermolipectomia dos membros superiores – braquioplastia pós-bariátrica
3.01.01.27-1;Dermolipectomia para correção de abdome em avental
3.01.01.28-0;Desbridamento cirúrgico – por unidade topográfica (UT)
3.01.01.29-8;Eletrocoagulação de lesões de pele e mucosas – com ou sem curetagem (por grupo de até 5 lesões)
3.01.01.30-1;Enxerto cartilaginoso
3.01.01.31-0;Enxerto composto
3.01.01.32-8;Enxerto de mucosa
3.01.01.33-6;Enxerto de pele (homoenxerto inclusive)
3.01.01.34-4;Enxerto de pele múltiplo – por unidade topográfica (UT)
3.01.01.35-2;Epilação por eletrólise (por sessão)
3.01.01.36-0;Escalpo parcial – tratamento cirúrgico
3.01.01.37-9;Escalpo total – tratamento cirúrgico
3.01.01.38-7;Escarectomia descompressiva – (pele e estruturas profundas) – por unidade topográfica (UT)
3.01.01.39-5;Esfoliação química média (por sessão)
3.01.01.40-9;Esfoliação química profunda (por sessão)
3.01.01.41-7;Esfoliação química superficial (por sessão)
3.01.01.42-5;Exérese de higroma cístico
3.01.01.43-3;Exérese de higroma cístico no RN e lactente
3.01.01.46-8;Exérese de lesão/tumor de pele e mucosas
3.01.01.44-1;Exérese de lesão com autoenxertia
3.01.01.47-6;Exérese de tumor e rotação de retalho músculo-cutâneo
3.01.01.48-4;Exérese de unha
3.01.01.92-1;Exérese e sutura de hemangioma, linfangioma ou nevus (por grupo de até 5 lesões)
3.01.01.45-0;Exérese e sutura de lesões (circulares ou não) com rotação de retalhos cutâneos
3.01.01.49-2;Exérese e sutura simples de pequenas lesões (por grupo de até 5 lesões)
3.01.01.50-6;Exérese tangencial (shaving) – (por grupo de até 5 lesões)
3.01.01.51-4;Expansão tissular (por sessão)
3.01.01.52-2;Extensos ferimentos, cicatrizes ou tumores – excisão e retalhos cutâneos da região
3.01.01.53-0;Extensos ferimentos, cicatrizes ou tumores – exérese e emprego de retalhos cutâneos ou musculares cruzados (por estágio)
3.01.01.54-9;Extensos ferimentos, cicatrizes ou tumores – exérese e retalhos cutâneos a distância
3.01.01.55-7;Extensos ferimentos, cicatrizes ou tumores – exérese e rotação de retalho fasciocutâneo ou axial
3.01.01.56-5;Extensos ferimentos, cicatrizes ou tumores – exérese e rotação de retalhos miocutâneos
3.01.01.57-3;Extensos ferimentos, cicatrizes ou tumores – exérese e rotação de retalhos musculares
3.01.01.58-1;Extensos ferimentos, cicatrizes ou tumores – exérese e enxerto cutâneo
3.01.01.59-0;Face – biópsia
3.01.01.60-3;Ferimentos infectados e mordidas de animais (desbridamento)
3.01.01.62-0;Incisão e drenagem de abscesso, hematoma ou panarício
3.01.01.63-8;Incisão e drenagem de flegmão
3.01.01.61-1;Incisão e drenagem de tenossinovites purulentas
3.01.01.64-6;Infiltração intralesional, cicatricial e hemangiomas – por sessão
3.01.01.65-4;Lasercirurgia (por sessão)
3.01.01.66-2;Matricectomia por dobra ungueal
3.01.01.67-0;Plástica em Z ou W
3.01.01.68-9;Reconstrução com retalhos de gálea aponeurótica
3.01.01.69-7;Retalho composto (incluindo cartilagem ou osso)
3.01.01.71-9;Retalho muscular ou miocutâneo
3.01.01.73-5;Retirada de corpo estranho subcutâneo
3.01.01.74-3;Retração cicatricial de axila – tratamento cirúrgico
3.01.01.75-1;Retração cicatricial de zona de flexão e extensão de membros superiores e inferiores
3.01.01.76-0;Retração cicatricial do cotovelo – tratamento cirúrgico
3.01.01.77-8;Retração de aponevrose palmar (Dupuytren)
3.01.01.78-6;Sutura de extensos ferimentos com ou sem desbridamento
3.01.01.79-4;Sutura de pequenos ferimentos com ou sem desbridamento
3.01.02.01-4;Terapia de pressão negativa – cirúrgica
3.01.01.80-8;Transecção de retalho
3.01.01.81-6;Transferência intermediária de retalho
3.01.01.82-4;Tratamento cirúrgico de bridas constritivas
3.01.01.83-2;Tratamento cirúrgico de grandes hemangiomas
3.01.01.84-0;Tratamento da miíase furunculoide (por lesão)
3.01.01.85-9;Tratamento de anomalias pilosas a laser/photoderm – por sessão
3.01.01.86-7;Tratamento de escaras ou ulcerações com enxerto de pele
3.01.01.87-5;Tratamento de escaras ou ulcerações com retalhos cutâneos locais
3.01.01.88-3;Tratamento de escaras ou ulcerações com retalhos miocutâneos ou musculares
3.01.01.89-1;Tratamento de fístula cutânea
3.01.01.90-5;Tratamento de lesões cutâneas e vasculares a laser/photoderm – por sessão
3.01.01.91-3;TU partes moles – exérese
3.01.01.95-6;Unha (enxerto) – tratamento cirúrgico
3.02.00.00-8;Código Procedimento Porte Custo Oper. N° de Aux. Porte Anest. LÁBIO
3.02.01.01-2;Biópsia de lábio
3.02.01.02-0;Excisão com plástica de vermelhão
3.02.01.03-9;Excisão com reconstrução à custa de retalhos
3.02.01.04-7;Excisão com reconstrução total
3.02.01.05-5;Excisão em cunha
3.02.01.06-3;Frenotomia labial
3.02.01.07-1;Queiloplastia para fissura labial unilateral – por estágio
3.02.01.08-0;Reconstrução de sulco gengivo-labial
3.02.01.09-8;Reconstrução total do lábio
3.02.01.10-1;Tratamento cirúrgico da macrostomia
3.02.01.11-0;Tratamento cirúrgico da microstomia
3.02.02.01-9;Alongamento cirúrgico do palato mole
3.02.02.02-7;Biópsia de boca
3.02.02.03-5;Excisão de lesão maligna com reconstrução à custa de retalhos locais
3.02.02.04-3;Excisão de tumor de boca com mandibulectomia
3.02.02.05-1;Exérese de tumor e enxerto cutâneo ou mucoso
3.02.02.06-0;Fístula orofacial – tratamento cirúrgico
3.02.02.07-8;Glossectomia subtotal ou total, com ou sem mandibulectomia
3.02.02.09-4;Palatoplastia com enxerto ósseo
3.02.02.10-8;Palatoplastia com retalho faríngeo
3.02.02.11-6;Palatoplastia com retalho miomucoso
3.02.02.12-4;Palatoplastia parcial
3.02.02.13-2;Palatoplastia total
3.02.02.08-6;Palato-queiloplastia unilateral
3.02.02.14-0;Plástica do ducto parotídeo
3.02.03.03-1;Biópsia de língua
3.02.03.01-5;Frenotomia lingual
3.02.03.02-3;Tumor de língua – tratamento cirúrgico
3.02.04.01-1;Biópsia de glândula salivar
3.02.04.02-0;Excisão de glândula submandibular
3.02.04.03-8;Exérese de rânula ou mucocele
3.02.04.04-6;Parotidectomia parcial com conservação do nervo facial
3.02.04.06-2;Parotidectomia total com conservação do nervo facial
3.02.04.07-0;Parotidectomia com reconstrução do nervo facial
3.02.04.08-9;Parotidectomia total com sacrifício do nervo facial, sem reconstrução
3.02.04.09-7;Plastia de ducto salivar ou exérese de cálculo ou de rânula salivar
3.02.04.10-0;Ressecção de tumor de glândula sublingual
3.02.05.01-8;Abscesso faríngeo – qualquer área
3.02.05.02-6;Adenotonsilectomia – revisão cirúrgica
3.02.05.04-2;Adenoidectomia
3.02.05.27-1;Adenoidectomia por videoendoscopia
3.02.05.05-0;Amigdalectomia das palatinas
3.02.05.06-9;Amigdalectomia lingual
3.02.05.07-7;Biópsia do cavum, orofaringe ou hipofaringe
3.02.05.08-5;Cauterização (qualquer técnica) por sessão
3.02.05.09-3;Corpo estranho de faringe – retirada em consultório
3.02.05.10-7;Corpo estranho de faringe – retirada sob anestesia geral
3.02.05.11-5;Criptólise amigdaliana
3.02.05.14-0;Faringolaringectomia
3.02.05.15-8;Faringolaringoesofagectomia total
3.02.05.16-6;Ressecção de nasoangiofibroma
3.02.05.28-0;Ressecção de nasoangiofibroma por videoendoscopia
3.02.05.17-4;Ressecção de tumor de faringe (via bucal ou nasal)
3.02.05.18-2;Ressecção de tumor de faringe com acesso por faringotomia ou por retalho jugal
